sstart	send	qstart	qend	smatch	qmatch	identity	slen	qlen	subj	qry
6	2747	1	2747	2742	2747	98.87	31863	30621	Zm00001eb143080	Zm00018ab147610
6513	8258	2740	4488	1746	1749	98.11	31863	30621	Zm00001eb143080	Zm00018ab147610
9164	9787	4488	5111	624	624	95.68	31863	30621	Zm00001eb143080	Zm00018ab147610
9787	10325	5416	5950	539	535	97.03	31863	30621	Zm00001eb143080	Zm00018ab147610
10384	10507	6394	6519	124	126	96.83	31863	30621	Zm00001eb143080	Zm00018ab147610
10630	13368	6521	9252	2739	2732	96.70	31863	30621	Zm00001eb143080	Zm00018ab147610
22369	24599	9261	11375	2231	2115	92.53	31863	30621	Zm00001eb143080	Zm00018ab147610
24716	27170	11377	13902	2455	2526	94.93	31863	30621	Zm00001eb143080	Zm00018ab147610
27170	27335	14011	14166	166	156	92.17	31863	30621	Zm00001eb143080	Zm00018ab147610
27331	30100	26060	28857	2770	2798	96.47	31863	30621	Zm00001eb143080	Zm00018ab147610
30282	31863	28857	30424	1582	1568	96.61	31863	30621	Zm00001eb143080	Zm00018ab147610
