sstart	send	qstart	qend	smatch	qmatch	identity	slen	qlen	subj	qry
1	4488	5	4485	4488	4481	98.66	30621	19117	Zm00018ab147610	Zm00035ab147480
4488	5111	5391	6014	624	624	95.68	30621	19117	Zm00018ab147610	Zm00035ab147480
5416	5950	6014	6552	535	539	97.03	30621	19117	Zm00018ab147610	Zm00035ab147480
6394	6519	6611	6734	126	124	96.83	30621	19117	Zm00018ab147610	Zm00035ab147480
6521	11375	6857	11852	4855	4996	94.54	30621	19117	Zm00018ab147610	Zm00035ab147480
11377	13902	11969	14423	2526	2455	94.93	30621	19117	Zm00018ab147610	Zm00035ab147480
14011	14166	14423	14588	156	166	92.17	30621	19117	Zm00018ab147610	Zm00035ab147480
26060	28857	14584	17354	2798	2771	96.54	30621	19117	Zm00018ab147610	Zm00035ab147480
28857	29214	17536	17884	358	349	96.65	30621	19117	Zm00018ab147610	Zm00035ab147480
29214	30221	18088	19114	1008	1027	96.70	30621	19117	Zm00018ab147610	Zm00035ab147480
